Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
20.428,0.719,1.697,11851.735,1182.749,0.342,1.008
7.835,0.886,1.125,11798.577,1424.095,-0.069,0.225
6.6,0.744,1.81,12013.421,1253.656,0.036,0.243
19.963,0.704,1.715,12081.672,1512.094,-0.291,0.377
9.433,0.754,1.645,11958.63,1165.205,0.005,-0.007
16.41,0.689,1.743,11763.118,1672.63,0.236,-0.317
18.777,0.843,1.491,11844.896,1242.357,-0.1,0.697
22.153,0.86,1.42,12251.654,1496.878,-0.232,0.42
16.283,0.755,1.642,11573.349,1285.707,0.124,-0.147
23.407,0.771,1.563,12443.341,1129.532,-0.669,0.653
23.241,0.665,1.81,12527.44,1718.318,0.263,-0.59
16.577,0.8,1.364,12151.668,1970.871,0.17,-0.48
17.385,0.824,1.51,12593.103,1270.927,0.049,0.452
22.28,0.73,1.988,11624.93,1623.351,0.48,-0.134
19.953,0.742,2.047,12396.649,1043.884,0.111,0.923
16.572,0.798,1.66,11456.405,1310.478,0.231,-0.577
16.195,0.781,1.852,11099.978,1081.893,-0.449,0.597
13.784,0.832,1.329,11731.709,1498.611,0.445,0.478
12.897,0.749,1.695,11921.265,1291.046,0.284,0.095
28.783,0.791,1.434,11725.72,1399.898,0.094,0.836
16.934,0.77,1.727,12090.176,1328.614,0.536,0.326
21.545,0.78,1.702,11820.016,1236.052,0.726,1.708
15.592,0.669,2.399,12235.738,1371.626,0.165,0.418
16.16,0.737,1.541,12713.852,1706.127,0.308,-0.595
22.687,0.807,1.608,12076.624,1449.067,0.542,0.492
15.18,0.772,1.809,11651.86,1341.975,0.343,0.45
17.704,0.786,1.333,11902.604,1104.944,-0.476,1.028
6.914,0.809,1.402,11389.962,1499.284,-0.587,0.348
17.88,0.645,2.555,11746.326,1647.577,0.375,-0.167
19.644,0.762,1.866,11196.679,1287.318,0.623,1.238
16.332,0.739,1.901,12393.95,1141.193,0.39,1.593
18.728,0.845,1.151,11819.974,1362.901,0.499,0.372
16.082,0.666,2.131,11999.008,1559.524,0.177,0.56
13.98,0.745,1.979,12395.001,1218.719,0.243,-0.303
21.095,0.768,1.915,11930.884,1414.027,-0.039,0.339
24.598,0.73,1.515,11929.452,1472.729,-0.368,0.505
23.319,0.832,1.06,12151.92,1543.356,0.246,-0.382
13.377,0.739,1.839,12187.991,1105.851,0.447,0.095
22.128,0.754,1.998,12415.164,1304.967,-0.193,-0.213
17.679,0.773,1.628,11708.62,1142.913,0.018,-0.367
17.179,0.708,1.989,12195.356,1203.192,-0.062,-0.19
15.92,0.8,1.402,11935.4,1331.993,0.661,0.566
18.155,0.831,1.51,12416.776,1739.282,0.26,-0.246
26.338,0.738,1.929,12035.954,1268.971,0.312,0.666
14.685,0.774,1.757,12035.345,1504.578,-0.258,0.256
14.729,0.759,1.851,11811.706,1359.025,-0.477,0.873
16.209,0.713,2.116,12113.978,989.678,0.392,0.254
18.228,0.762,1.658,11914.56,1386.343,0.199,0.109
20.776,0.795,1.811,12283.138,1310.456,0.142,0.798
19.198,0.761,1.984,12476.143,1389.399,0.551,0.08
7.801,0.761,1.784,11550.143,1164.376,0.041,1.132
18.498,0.692,2.207,11821.054,1282.514,0.467,0.207
12.392,0.739,1.899,11734.803,1460.681,0.093,0.296
20.355,0.874,1.234,11660.054,1288.633,1.087,2.383
19.977,0.766,1.818,11437.275,1369.507,0.631,0.272
17.635,0.702,2.273,12313.857,1503.038,0.018,1.34
19.066,0.742,1.444,11624.97,1727.971,0.424,0.663
18.262,0.722,1.942,12889.058,1859.694,-0.033,-0.616
20.859,0.838,1.291,11861.176,993.574,0.657,1.271
19.345,0.808,1.645,12113.886,1242.752,0.106,1.841
13.74,0.774,1.766,12285.902,1660.97,0.182,0.238
12.206,0.764,1.795,12958.993,1584.804,-0.03,-0.163
17.312,0.718,2.091,11887.422,1125.912,0.561,1.453
9.516,0.795,1.607,11697.835,1572.283,0.629,0.276
17.924,0.835,1.495,11833.16,1259.691,-0.011,1.078
19.835,0.631,2.724,12086.421,1106.904,-0.265,0.341
15.91,0.783,1.875,12140.707,1169.942,-0.491,2.058
19.889,0.809,1.184,11917.789,1360.761,0.385,0.436
14.774,0.751,2.034,11795.989,1074.877,-0.437,0.728
16.327,0.779,1.834,11568.346,1236.751,0.431,0.604
21.589,0.706,1.934,12024.061,1219.564,-0.191,0.581
19.184,0.78,1.625,11950.768,1382.82,0.485,0.242
14.935,0.802,1.677,12666.56,1353.901,0.326,0.736
22.525,0.73,2.028,11793.955,1239.464,-0.238,0.132
20.698,0.738,1.878,11636.117,965.228,-0.41,1.295
12.382,0.843,1.394,11679.042,1338.14,0.921,1.95
17.983,0.853,1.521,11205.998,994.443,0.186,-0.122
18.449,0.725,2.171,12347.481,1595.292,0.193,0.056
18.703,0.671,2.493,12288.67,1362.87,-0.398,0.236
18.826,0.746,1.975,11193.048,1341.796,-0.025,-0.221
22.565,0.715,2.268,12060.637,1122.898,-0.097,1.449
14.328,0.756,1.962,11756.872,1340.036,0.358,-0.073
17.057,0.74,1.61,11662.421,1407.634,0.311,0.435
18.767,0.756,2.042,12365.935,1181.213,0.301,0.374
7.845,0.823,1.527,12888.671,1805.07,-0.253,-0.567
18.752,0.686,2.064,12159.959,1388.851,0.149,0.102
19.556,0.701,2.304,12170.7,1145.339,-0.278,0.298
20.541,0.665,2.235,12070.284,1454.595,0.328,0.243
18.796,0.693,2.408,12076.121,1309.62,0.276,-0.132
18.135,0.791,1.76,11870.195,1204.426,0.547,0.434
17.846,0.783,1.757,12252.769,1313.297,0.461,0.966
14.666,0.8,1.643,11926.441,1392.145,-0.018,-0.121
11.206,0.724,1.602,11441.43,1847.91,0.745,0.51
21.663,0.816,1.621,12631.981,1404.738,0.071,0.348
19.345,0.712,2.275,11654.056,984.671,0.521,1.051
22.476,0.75,1.932,11838.725,1190.75,0.025,0.543
27.871,0.789,1.667,12384.068,1337.013,0.122,0.483
22.741,0.803,1.76,12490.713,1365.252,-0.119,-0.147
18.287,0.763,1.848,11609.743,1192.333,0.002,-0.449
9.173,0.77,1.618,10875.164,1518.45,-0.054,-0.36
20.502,0.671,2.38,11942.428,1183.748,0.213,0.332
19.159,0.697,2.338,12093.87,1257.83,0.588,0.576
13.941,0.784,1.661,11740.965,1567.062,0.578,0.444
18.385,0.713,2.263,11821.676,1257.208,0.297,0.985
31.115,0.726,1.872,12302.893,1168.061,0.035,0.542
16.44,0.711,2.239,11393.451,973.823,0.21,0.79
25.725,0.761,1.981,12267.082,1298.13,0.135,0.387
11.785,0.747,1.568,11940.745,1583.754,0.437,0.053
18.988,0.782,1.871,12067.016,1218.155,-0.3,-0.28
18.14,0.831,1.457,12181.914,1287.225,0.393,0.481
26.357,0.756,1.64,12346.191,1625.258,0.023,-0.319
8.364,0.852,1.45,12079.979,1353.717,0.156,0.572
22.173,0.718,1.932,11814.963,1328.562,-0.133,-0.099
33.521,0.701,1.834,12097.614,1560.962,-0.098,0.03
19.948,0.743,2.098,11953.635,1108.158,0.096,0.903
17.973,0.818,1.425,11369.289,1251.333,0.251,-0.029
22.844,0.837,1.492,11802.993,1504.023,0.411,-0.254
20.761,0.73,2.031,11960.381,1139.1,-0.452,0.659
18.61,0.734,2.079,12182.594,1194.974,-0.844,0.863
19.556,0.754,1.67,11928.94,1189.365,-0.423,1.382
24.681,0.806,1.576,11649.08,983.653,-0.548,0.673
19.492,0.838,1.564,12119.071,1448.255,-0.032,-0.004
19.159,0.851,1.411,11766.385,1202.6,-0.319,-0.194
26.97,0.727,2.202,12197.559,1303.242,0.236,0.245
19.056,0.808,1.74,11470.371,1255.242,0.042,1.458
19.708,0.847,1.382,12024.665,1375.261,0.624,1.338
23.358,0.83,1.632,12284.575,1427.896,-0.163,0.215
14.548,0.776,1.649,12093.954,1451.688,0.699,0.465
22.427,0.796,1.797,12133.108,1230.778,-0.672,0.889
23.059,0.741,2.072,11991.688,1151.793,0.492,1.294
21.276,0.859,1.298,12131.623,1492.427,0.154,0.531
21.34,0.789,1.752,12313.669,1555.471,-0.029,-0.164
24.696,0.736,2.139,11662.85,1310.635,-0.087,-0.229
20.286,0.758,1.995,12084.598,1222.712,0.272,0.421
18.777,0.76,1.887,12075.773,1359.525,0.02,1.109
