,Area,Aspect Ratio,Major Pointedness,Minor Pointedness,Circularity,Intensity Std,Intensity Skew,Intensity Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name,Cluster
106,11.05,1.76,0.0411,0.00427,0.778,1373.8,0.445,1.172,0,6851.533,189,649,165021,week0_A02_cluster_1,0
107,14.181,1.831,0.10477,0.01316,0.737,1246.2160000000001,0.359,-0.15,0,6851.533,189,649,165021,week0_A02_cluster_1,0
108,12.01,1.6030000000000002,0.10907,0.0082,0.777,1086.8010000000002,-0.21100000000000002,0.301,0,6851.533,189,649,165021,week0_A02_cluster_1,0
109,8.173,1.7169999999999999,0.02712,0.06701,0.7659999999999999,1334.517,0.233,-0.231,0,6851.533,189,649,165021,week0_A02_cluster_1,0
110,8.673,1.444,0.04034,0.03607,0.847,1077.114,-0.28600000000000003,0.373,0,6851.533,189,649,165021,week0_A02_cluster_1,0
111,10.481,1.829,0.01983,0.03071,0.7979999999999999,1098.5330000000001,0.41600000000000004,0.239,0,6851.533,189,649,165021,week0_A02_cluster_1,0
112,18.008,1.3159999999999998,0.11867,0.052020000000000004,0.759,1154.34,-0.08199999999999999,0.057999999999999996,0,6851.533,189,649,165021,week0_A02_cluster_1,0
113,9.902999999999999,1.8459999999999999,0.04467,0.036660000000000005,0.779,1110.59,0.635,0.863,0,6851.533,189,649,165021,week0_A02_cluster_1,0
114,12.618,1.899,0.04085,0.0008699999999999999,0.764,1358.4229999999998,0.7120000000000001,1.113,0,6851.533,189,649,165021,week0_A02_cluster_1,0
115,8.427999999999999,2.2319999999999998,0.04724,0.00557,0.7170000000000001,799.828,-0.496,0.203,0,6851.533,189,649,165021,week0_A02_cluster_1,0
116,10.485999999999999,1.614,0.08988,0.00123,0.7859999999999999,1262.806,0.138,0.039,0,6851.533,189,649,165021,week0_A02_cluster_1,0
117,6.669,1.35,0.02695,0.11475999999999999,0.774,1322.81,-0.99,1.5590000000000002,0,6851.533,189,649,165021,week0_A02_cluster_1,0
118,11.491,1.771,0.0125,0.00491,0.785,1098.614,0.39299999999999996,0.14800000000000002,0,6851.533,189,649,165021,week0_A02_cluster_1,0
119,7.335,1.879,0.07056,0.1233,0.6890000000000001,1437.505,0.226,-0.184,0,6851.533,189,649,165021,week0_A02_cluster_1,0
120,6.909,1.54,0.02825,0.03095,0.8009999999999999,1739.649,0.099,-0.929,0,6851.533,189,649,165021,week0_A02_cluster_1,0
