Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
6.929,0.763,1.818,11937.393,885.01,0.236,0.648
10.119,0.715,2.169,12075.13,1015.281,0.356,3.212
9.893,0.722,2.06,12062.161,1348.226,0.549,0.763
9.56,0.776,1.678,11460.391,1097.957,-0.92,2.049
14.274,0.648,1.765,12039.79,1380.604,0.741,0.124
13.068,0.788,1.261,12044.077,1311.343,-0.146,0.213
9.648,0.766,1.727,11508.607,1186.497,0.017,0.014
8.149,0.818,1.607,12035.214,1511.619,0.964,0.89
6.87,0.8,1.551,12142.424,1341.266,0.123,-0.474
6.257,0.67,1.803,11584.809,1225.162,0.79,2.919
11.172,0.781,1.77,12123.848,1445.995,0.303,-0.356
6.047,0.751,2.049,11632.784,880.507,-0.215,0.241
12.201,0.73,2.127,11929.698,1170.445,-0.187,-0.18
9.854,0.789,1.859,11680.224,1003.217,0.177,0.269
10.246,0.787,1.791,11618.613,954.14,-0.49,1.165
12.436,0.814,1.703,11851.013,1045.571,-0.465,0.275
10.496,0.699,2.243,11967.076,1222.389,0.435,1.23
12.319,0.795,1.595,11983.698,1157.894,-0.186,0.366
15.754,0.81,1.656,12213.432,1186.111,0.439,0.79
7.967,0.772,1.957,11856.379,1093.613,0.022,0.159
12.495,0.749,1.894,12235.319,1541.343,0.083,0.084
9.79,0.775,1.47,11771.41,1249.294,-0.491,0.158
15.131,0.773,1.558,12358.915,1420.045,-0.029,-0.557
10.329,0.748,1.905,12308.807,1419.314,0.473,1.214
10.775,0.689,2.254,11871.199,1030.324,-0.191,0.227
11.672,0.753,1.904,11915.449,974.677,-0.35,3.099
9.932,0.802,1.615,11758.6,1148.005,-0.468,0.441
10.623,0.727,2.06,11767.62,975.995,0.324,2.142
8.09,0.788,1.819,11836.112,1124.38,-0.245,0.056
9.79,0.787,1.788,12031.711,1322.139,-0.128,0.316
11.868,0.781,1.606,12060.152,927.097,-0.51,2.403
11.74,0.777,1.825,12139.005,1209.884,0.108,1.434
6.615,0.796,1.364,12713.475,1382.839,0.487,0.04
7.149,0.802,1.35,12004.051,967.422,-0.144,0.535
9.727,0.743,2.038,11773.599,1088.564,-0.289,0.063
